subject,question,answer,answer_letter,choice_A,choice_B,choice_C,choice_D
professional_law,"A complaint filed on behalf of a woman against a nursing home and an ambulance service included the following allegations: The woman, who was 86 years old and unable to speak after suffering a stroke, was picked up from her daughter's house by the ambulance service and taken to the nursing home to stay while her daughter was out of town. When the woman's daughter returned a few days later, the ambulance service picked up the woman from the nursing home and returned her to the daughter's house. The daughter was shocked to discover that the woman had shocked to discover that the woman had a broken leg; her leg had been uninjured when she left for the nursing home. A physician's report attached to the complaint stated that the woman's leg injury would not have occurred in the absence of negligence. The complaint further alleged that the woman was under the control, successively, of the ambulance service and the nursing home during the time when she must have sustained the injury, and that either the ambulance service or the nursing home must have negligently moved or handled the woman, causing the injury to her leg. Both defendants have argued that the allegations in the complaint are inadequate to support a negligence claim. What is the best response to the defendants' argument?",1,B,Both defendants owed a duty to the woman.,"One of the two defendants probably caused the injury, and the circumstances of the injury are primarily within the knowledge and control of the defendants rather than the woman or her representative.","The defendants are concurrent tortfeasors, so each is vicariously liable for any tortious act committed by the other.",There are grounds for the fact-finder to infer that both defendants were negligent.
professional_law,"Before a proposal to merge two towns was placed on a ballot, the state attorney general issued an advisory opinion stating that the measure did not, in her opinion, violate any statutory or constitutional provisions. Thereafter, the proposal was placed on the ballot and was overwhelmingly passed by the voters in both towns. After the election, but before the merger had officially been carried out, two taxpayers from one of the towns initiated suit to enjoin the unification, attacking the constitutionality of the proposal. The suit reached the state supreme court and was found to be constitutional under both state and federal law. The plaintiffs now file a motion seeking to have thiscase reviewed by the U. S. Supreme Court. The Court may",0,A,"not hear the case, because it was decided on independent state grounds.","not hear the case, but may have it remanded to federal district court.","hear the federal issues involved, but decline to rule on the state issue.",rely on the advisory opinion rendered by the state attorney general and not hear the case on its merits.
professional_law,"A defendant charged with homicide had a long and tortured history of mental illness. He related several outrageous paranoid fantasies to the authorities and was sent to a mental hospital for evaluation of his ability to stand trial. The doctors reported that the only hope to restore the defendant to relative normalcy where he could stand trial was to administer widely-used anti-psychotic medicine. The man was also a danger to himself and others, and the medicine was in his medical best interests. The defendant asserted that the administration of drugs against his will would violate his liberty interest to substantive due process. Will the court likely order that the defendant should be involuntarily administered the anti-psychotic medications?",0,A,"Yes, the administration of medications to render the defendant capable of standing trial, without serious side effects, is an important governmental interest, and even more so in a homicide case.","Yes, the individual has no right to be protected from involuntary medical treatment when he is in custody of federal authorities.","No, the individual has an absolute constitutional right to be free from intrusion of medications into his system against his will.","No, the involuntary administration of medications to a criminal defendant is considered to be cruel and unusual punishment in violation of state and federal constitutional protections."
machine_learning,K-fold cross-validation is,0,A,linear in K,quadratic in K,cubic in K,exponential in K
machine_learning,"Say the incidence of a disease D is about 5 cases per 100 people (i.e., P(D) = 0.05). Let Boolean random variable D mean a patient “has disease D” and let Boolean random variable TP stand for ""tests positive."" Tests for disease D are known to be very accurate in the sense that the probability of testing positive when you have the disease is 0.99, and the probability of testing negative when you do not have the disease is 0.97. What is P(D | TP), the posterior probability that you have disease D when the test is positive?",2,C,0.0495,0.078,0.635,0.97
machine_learning,"Statement 1| Layer Normalization is used in the original ResNet paper, not Batch Normalization. Statement 2| DCGANs use self-attention to stabilize training.",1,B,"True, True","False, False","True, False","False, True"
machine_learning,"If your training loss increases with number of epochs, which of the following could be a possible issue with the learning process?",2,C,Regularization is too low and model is overfitting,Regularization is too high and model is underfitting,Step size is too large,Step size is too small
machine_learning,"Statement 1| Traditional machine learning results assume that the train and test sets are independent and identically distributed. Statement 2| In 2017, COCO models were usually pretrained on ImageNet.",0,A,"True, True","False, False","True, False","False, True"
machine_learning,Averaging the output of multiple decision trees helps _.,3,D,Increase bias,Decrease bias,Increase variance,Decrease variance
machine_learning,Let us say that we have computed the gradient of our cost function and stored it in a vector g. What is the cost of one gradient descent update given the gradient?,0,A,O(D),O(N),O(ND),O(ND^2)
machine_learning,"Statement 1| As of 2020, some models attain greater than 98% accuracy on CIFAR-10. Statement 2| The original ResNets were not optimized with the Adam optimizer.",0,A,"True, True","False, False","True, False","False, True"
machine_learning,"Which one of the following is equal to P(A, B, C) given Boolean random variables A, B and C, and no independence or conditional independence assumptions between any of them?",2,C,P(A | B) * P(B | C) * P(C | A),"P(C | A, B) * P(A) * P(B)","P(A, B | C) * P(C)","P(A | B, C) * P(B | A, C) * P(C | A, B)"
machine_learning,The disadvantage of Grid search is,3,D,It can not be applied to non-differentiable functions.,It can not be applied to non-continuous functions.,It is hard to implement.,It runs reasonably slow for multiple linear regression.
business_ethics,"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence.",1,B,"Unsafe practices, Wants, Fear, Trivial","Unsafe practices, Distress, Fear, Serious","Safe practices, Wants, Jealousy, Trivial","Safe practices, Distress, Jealousy, Serious"
business_ethics,"Under ethical ________ objective moral principles can be rationally determined, while ethical under ________ morality is both context dependant and subjective.",1,B,"Normativity, Relativism","Absolutism, Relativism","Relativism, Absolutism","Absolutism, Normativity"
business_ethics,"There are two main issues associated with _____ sizing. _______ is a key issue as due to the information policy of the corporation it can be argued that employees have a right to know if they are being made redundant. _______ is a second issue, particularly the ________ package that employees receive when laid off.",0,A,"Down, Involvement, Remuneration, Compensation","Up, Involvement, Autonomy, Compensation","Down, Autonomy, Remuneration, Benefit","Up, Independence, Involvement, Benefit"
business_ethics,"____________ refers to a strategic process involving stakeholder assessment to create long-term relationships with customers, while maintaining, supporting, and enhancing the natural environment.",1,B,Eco-strategy,Green Marketing,Superfund reauthorization,Recycle and reprocess management
business_ethics,The extent to which an individual believes they can control their life is determined by their __________.,3,D,Moral imagination,Personal integrity,Cognitive moral development,Locus of control
business_ethics," _______ can be a likened to their natural counterparts, comprising of a balanced network of interdependent organisms and their environments thus adding value to sustainability thinking due to the consideration of companies and industries as being bound together, and interdependent due to all kinds of resources and wastes.",1,B,Industrial supply loops,Industrial ecosystems,Ecological ecosystems,Corporate ecosystems
business_ethics,"___________, ___________ and __________ are all factors which can impact the moral intensity",0,A,"Social consensus, Temporal immediacy, Proximity","Proximity, Social dissensus, Futility of effect","Proximity, Temporal immediacy, Social dissensus","Social dissensus, Cultural immediacy, Proximity"
business_ethics,"There are a number of means by which can influence _______. These include _________to decision maker, varying from very direct modes to indirect modes, _________, being either public or private and ________ of communication.",0,A,"Government, Avenue of approach, Breadth of transmission, Content","Consumers, Avenue of approach, Height of transmission, Content","Government, Breath of transmission, Avenue of approach, Content","Employees, Breadth of transmission, Content, Avenue of approach"
business_ethics,According Carroll what four categories or aspects can corporate social responsibility be broken down into?,1,B,"Political, Legal, Ethical and Philanthropic","Economic, Legal, Ethical and Philanthropic","Economic, Legal, Cultural and Philanthropic","Economic, Legal, Ethical and Environmental"
business_ethics,Which of the following statements is correct?,1,B,Business ethics is not a real concept as the rules and ethics of everyday life don't apply to the world of business.,"Business Ethics is the study of business situations, activities and decisions where issues of right and wrong are addressed.",Business ethics cannot be defined as a real concept as it is an oxymoronic term.,Business ethics is concerned with the study of assessing the activities of a business based on their profitability.
high_school_biology,The light reactions of photosynthesis supply the Calvin cycle with which of the following?,1,B,The light reactions provide oxygen for the light-independent reactions.,ATP and NADPH provide the power and raw materials for the Calvin cycle.,Water entering the plant through the roots provides hydrogen directly to the Calvin cycle.,CO2 released by the light-dependent reactions provides the raw material for the Calvin cycle.
high_school_biology,"Sickle cell anemia is a disease caused by the substitution of an incorrect nucleotide into the DNA sequence for a particular gene. The amino acids are still added to the growing protein chain, but the symptoms of sickle cell anemia result. This is an example of a",1,B,frameshift mutation.,missense mutation.,nonsense mutation.,thymine dimer mutation.
high_school_biology,"No two people are genetically identical, except for identical twins. The chief cause of genetic variation among human individuals is",1,B,new mutations that occurred in the preceding generation.,the reshuffling of alleles in sexual reproduction.,genetic drift due to the small size of the population.,geographic variation within the population.
high_school_biology,Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect?,0,A,a deletion of a single nucleotide,a deletion of a nucleotide triplet,a single nucleotide substitution of the nucleotide occupying the first codon position,a single nucleotide substitution of the nucleotide occupying the third codon position
high_school_biology,The resting membrane potential depends on which of the following? I. Active transport II. Selective permeability III. Differential distribution of ions across the axonal membrane,3,D,III only,I and II only,II and III only,"I, II, and III"
high_school_biology,Which of the following statements best describes what a Barr body is and its significance?,2,C,It is an inactivated Y chromosome and results in a man being sterile.,"It is an inactivated Y chromosome, and the person who has it appears female.",It is an inactivated X chromosome and results in females with half their cells having one X inactivated and the other half of their cells having the other X inactivated.,It is an inactivated X chromosome and results in females who are sterile.
high_school_biology,Natural selection changes allele frequencies in populations because some ____ survive and reproduce more successfully than others.,3,D,alleles,loci,gene pools,individuals
high_school_biology,Convergent evolution is best exemplified by which of the following?,2,C,The pectoral fins of fish and the front legs of cats,The presence of a notochord in all chordate embryos,The wings of an insect and the wings of a bird,The leaves of an oak tree and the spines of a cactus
high_school_biology,A child with type A B blood inherits an IA allele from one parent and an IB allele from the other. The child will carry both A and B glycoproteins on the surface of all red blood cells. This pattern of expression is referred to as,2,C,codominance,epistasis,polygenic,linkage
high_school_biology,The average birth weight for human babies is about 3 kg. Which of the following terms best describes this?,2,C,artificial selection,directional selection,stabilizing selection,disruptive selection
